BEZEICHNUNG,STR_SCHL,GEMEINDE_KENNUNG,ID,KENNUNG,mw,benannt nach,URL
Cäcilie-Auer-Weg,01336,8421000,615,STR,w,"<strong>Cäcilie Auer</strong>, 1542–1608, die in Ulm die Auerstiftung zur Förderung von Studierenden gründete",
Carl-Ebner-Straße,01338,8421000,137,STR,m,n,
Carl-Schurz-Straße,01339,8421000,325,STR,m,,https://de.wikipedia.org/wiki/Carl_Schurz
Cartesiusstraße,01345,8421000,612,STR,m?,,https://de.wikipedia.org/wiki/Ren%C3%A9_Descartes
Christianweg,01352,8421000,888,STR,?,,
Clarissenstraße,01365,8421000,680,STR,ff,Klarissenkloster Söflingen,https://de.wikipedia.org/wiki/Klarissenkloster
Daimlerstraße,01378,8421000,466,STR,?,u,
Darrenweg,01384,8421000,1190,STR,?,,
Deinselsgasse,01391,8421000,67,STR,?,,
Dellmensinger Straße,01395,8421000,989,STR,,,
Deutschhausgasse,01404,8421000,117,STR,,,
Deutschherrenstraße,01410,8421000,1056,STR,,,
Dieselstraße,01417,8421000,589,STR,?,,
Dieterichweg,01430,8421000,406,STR,?,,
Dietinger Weg,01432,8421000,456,STR,,,
Distelweg,01433,8421000,1224,STR,,,
Donauhalde,01434,8421000,983,STR,,,
Donaustraße,01443,8421000,2,STR,,,
Donautalstraße,01469,8421000,861,STR,,,
Dorfplatz,01473,8421000,1798,STR,,,
Dorfstraße,01475,8421000,1051,STR,,,
Dornbühl,01482,8421000,553,STR,,,
Dornierstraße,01490,8421000,590,STR,,,
Dornröschenweg,01508,8421000,575,STR,?,,
Dornstadter Straße,01510,8421000,1597,STR,,,
Dornstadter Weg,01511,8421000,1423,STR,,,
Dreierbergweg,01521,8421000,765,STR,,,
Dreifaltigkeitsweg,01534,8421000,937,STR,,,
Dreiköniggasse,01547,8421000,78,STR,,,
Dreyerweg,01560,8421000,885,STR,?,,
Drosselweg,01570,8421000,1769,STR,,,
Drosselbartweg,01573,8421000,576,STR,?,,
Dr.-Max-Bentele-Weg,01574,8421000,1779,STR,m,,https://de.wikipedia.org/w/index.php?title=Max_Bentele_(Ingenieur)
Dr.-Otmar-Schäuffelen-Weg,01575,8421000,1743,STR,m,,http://www.festung-ulm.de/index.php?option=com_content&view=article&id=49
Dürner Weg,01578,8421000,1440,STR,,,
Dullisbrunnen,01580,8421000,1527,STR,,,
Eberhardtstraße,01583,8421000,235,STR,m,,https://de.wikipedia.org/wiki/Pflugfabrik_Gebr%C3%BCder_Eberhardt
Eberhard-Finckh-Straße,01586,8421000,480,STR,m,,https://de.wikipedia.org/wiki/Eberhard_Finckh
Eberlinweg,01591,8421000,1534,STR,m?,,
Eckostraße,01594,8421000,1100,STR,,,
Edith-Stein-Ring,01595,8421000,1789,STR,w,"<strong>Edith Stein</strong>, 1891–1942, Philosophin und Frauenrechtlerin, im Konzentrationslager ermordet",https://de.wikipedia.org/wiki/Edith_Stein
Egertweg,01599,8421000,492,STR,?,,
Egginger Straße,01607,8421000,1151,STR,,,
Egginger Weg,01612,8421000,446,STR,,,
Ehinger Straße,01625,8421000,155,STR,,,
Ehmannstraße,01628,8421000,1360,STR,?,,
Ehrensteiner Feld,01630,8421000,709,STR,,,
Eibenweg,01631,8421000,1384,STR,,,
Eichbergplatz,01633,8421000,504,STR,,,
Eichbühlstraße,01634,8421000,976,STR,,,
